Property,Time,Value
LeftFootQ.y,0.23333330,0.51615940
LeftFootQ.y,0.38333340,0.51351790
LeftFootQ.y,0.53333340,0.50157310
LeftFootQ.z,0.00000000,-0.49821490
LeftFootQ.z,0.20000000,-0.49167720
LeftFootQ.z,0.35000000,-0.49123160
LeftFootQ.z,0.51666670,-0.49389780
LeftFootQ.z,0.53333340,-0.49821380
LeftFootQ.w,0.00000000,0.49963860
LeftFootQ.w,0.23333330,0.48694190
LeftFootQ.w,0.46666670,0.49312530
LeftFootQ.w,0.53333340,0.49964020
RightFootT.x,0.00000000,0.05644286
RightFootT.x,0.05000000,0.04879979
RightFootT.x,0.10000000,0.04282085
RightFootT.x,0.13333330,0.04294335
RightFootT.x,0.16666670,0.03647058
RightFootT.x,0.20000000,0.03251277
RightFootT.x,0.23333330,0.03500048
RightFootT.x,0.30000000,0.04124982
RightFootT.x,0.40000000,0.05813510
RightFootT.x,0.50000000,0.06331704
RightFootT.x,0.53333340,0.05644245
RightFootT.y,0.00000000,-0.99183060
RightFootT.y,0.53333340,-0.99183060
RightFootT.z,0.00000000,-0.00922841
RightFootT.z,0.03333334,-0.00843740
RightFootT.z,0.06666667,-0.01080127
RightFootT.z,0.10000000,-0.01313402
RightFootT.z,0.13333330,-0.01639539
RightFootT.z,0.16666670,-0.01708888
RightFootT.z,0.20000000,-0.01590010
RightFootT.z,0.23333330,-0.01672559
RightFootT.z,0.30000000,-0.01572987
RightFootT.z,0.33333330,-0.01629424
RightFootT.z,0.38333340,-0.02283248
RightFootT.z,0.43333340,-0.02445164
RightFootT.z,0.46666670,-0.01842662
RightFootT.z,0.50000000,-0.01356816
RightFootT.z,0.53333340,-0.00922776
RightFootQ.x,0.00000000,-0.50056790
RightFootQ.x,0.11666670,-0.50232910
RightFootQ.x,0.35000000,-0.50139190
RightFootQ.x,0.51666670,-0.50469940
RightFootQ.x,0.53333340,-0.50056770
RightFootQ.y,0.00000000,0.50157270
RightFootQ.y,0.23333330,0.51616900
RightFootQ.y,0.38333340,0.51356530
RightFootQ.y,0.53333340,0.50157240
RightFootQ.z,0.00000000,-0.49821490
RightFootQ.z,0.20000000,-0.49161570
RightFootQ.z,0.35000000,-0.49107600
RightFootQ.z,0.51666670,-0.49387770
RightFootQ.z,0.53333340,-0.49821510
RightFootQ.w,0.00000000,0.49963860
RightFootQ.w,0.23333330,0.48692610
RightFootQ.w,0.46666670,0.49328440
RightFootQ.w,0.53333340,0.49963900
LeftHandT.x,0.00000000,-0.27930510
LeftHandT.x,0.10000000,-0.26854580
LeftHandT.x,0.31666670,-0.27420700
LeftHandT.x,0.46666670,-0.28479590
LeftHandT.x,0.53333340,-0.27929230
LeftHandT.y,0.00000000,-0.07766686
LeftHandT.y,0.11666670,-0.08141468
LeftHandT.y,0.21666670,-0.08114688
LeftHandT.y,0.38333340,-0.07569229
LeftHandT.y,0.53333340,-0.07768230
LeftHandT.z,0.00000000,0.08482038
LeftHandT.z,0.05000000,0.07656693
LeftHandT.z,0.11666670,0.07369485
LeftHandT.z,0.21666670,0.07068430
LeftHandT.z,0.31666670,0.06951825
LeftHandT.z,0.40000000,0.08522383
LeftHandT.z,0.46666670,0.09658816
LeftHandT.z,0.53333340,0.08479201
LeftHandQ.x,0.00000000,0.24406300
LeftHandQ.x,0.06666667,0.22765990
LeftHandQ.x,0.11666670,0.22842420
LeftHandQ.x,0.18333330,0.21804950
LeftHandQ.x,0.21666670,0.20618050
LeftHandQ.x,0.28333340,0.19877580
LeftHandQ.x,0.38333340,0.25803320
LeftHandQ.x,0.46666670,0.26530600
LeftHandQ.x,0.53333340,0.24404370
LeftHandQ.y,0.00000000,0.09337229
LeftHandQ.y,0.05000000,0.09703315
LeftHandQ.y,0.11666670,0.09126633
